School,ICSEA
Perth Modern School,1239
St Hilda's Anglican School for Girls,1197
Christ Church Grammar School,1180
Rossmoyne Senior High School,1121
St Mary's Anglican Girls' School,1158
Hale School,1165
All Saints' College,1154
Shenton College,1159
Willetton Senior High School,1117
Presbyterian Ladies' College,1111
Perth College,1153
Methodist Ladies' College,1150
Langford Islamic College,1098
International School of Western Australia,1182
Rehoboth Christian College,1114
John Curtin College of the Arts,1120
Applecross Senior High School,1111
Frederick Irwin Anglican School,1088
Churchlands Senior High School,1118
St George's Anglican Grammar School,1148
Wesley College,1143
Kingsway Christian College,1121
John XXIII College,1170
Leeming Senior High School,1071
Scotch College,1165
Iona Presentation College,1124
Penrhos College,1051
Mount Lawley Senior High School,1101
Carmel School,1137
St Andrew's Grammar,1078
Santa Maria College,1117
Bunbury Cathedral Grammar School,1081
Great Southern Grammar,1075
Trinity College,1113
Woodthorpe School,983
St Mark's Anglican Community School,1119
Mercedes College,1116
School of Isolated and Distance Education,1075
Chisholm Catholic College,1070
Helena College,1110
Aquinas College,1023
Sacred Heart College,1109
Ursula Frayne Catholic College,1097
John Calvin School,1024
St Stephen's School - Duncraig,1118
Duncraig Senior High School,1073
Kennedy Baptist College,1097
Melville Senior High School,1065
Corpus Christi College,1098
Narembeen District High School,1006
Como Secondary College,1074
Geraldton Grammar School,1068
Christian Brothers' College,1089
Divine Mercy College,1056
Carine Senior High School,1088
Christmas Island District High School,1015
Georgiana Molloy Anglican School,1072
Perth Waldorf School,1105
Providence Christian College,1090
Carey Baptist College,1097
Newman College,1114
Grace Christian School,1058
John Septimus Roe Anglican Community School,1070
Australian Islamic College - Kewdale,985
Living Waters Lutheran College,1039
Peter Carnley Anglican Community School,1056
Swan Christian College,1064
Lake Joondalup Baptist College,1105
Prendiville Catholic College,1077
Denmark Senior High School,1038
St Norbert College,1044
Lesmurdie Senior High School,1032
Mazenod College,1067
Woodvale Secondary College,1064
St Mary Mackillop College,1045
St James' Anglican School,1068
Kolbe Catholic College,1046
St Brigid's College,1048
Ellenbrook Christian College,1043
Cornerstone Christian College,1052
Quinns Baptist College,1062
Canning Vale College,1030
Ashdale Secondary College,1030
Harrisdale Senior High School,1041
John Forrest Secondary College,1025
Peter Moyes Anglican Community School,1073
Mandurah Catholic College,1040
Australian Islamic College - Thornlie,993
Australian Christian College - Southlands,1034
Swan Valley Anglican Community School,1045
Boyup Brook District High School,1002
Mater Dei College,1055
Emmanuel Catholic College,1036
Emmanuel Christian Community School,980
Heritage College Perth,1028
Alkimos Baptist College,1035
Margaret River Senior High School,1037
Bunbury Catholic College,1035
Kalbarri District High School,988
Tranby College,1066
Landsdale Christian School,1036
Australian Islamic College - Dianella,972
Kearnan College,1025
Bruce Rock District High School,952
Shark Bay School,945
Pemberton District High School,990
Bunbury John Calvin School,1035
St Joseph's College,1033
Exmouth District High School,1016
Seton Catholic College,1038
Mandurah Baptist College,1051
John Wollaston Anglican Community School,1054
Bunbury Senior High School,1019
John Calvin Christian College,1040
OneSchool Global WA,983
Guildford Grammar School,1137
St Stephen's School - Carramar,1101
Ocean Reef Senior High School,1034
Mercy College,975
St Luke's College,1009
Albany Senior High School,1003
John Paul College,1006
Lumen Christi College,1007
Servite College,1023
Holy Cross College,1024
Kent Street Senior High School,995
Balcatta Senior High School,997
Morley Senior High School,995
Carmel Adventist College,1033
South Coast Baptist College,1064
Irene McCormack Catholic College,1038
Ballajura Community College,970
Manjimup Senior High School,956
Nagle Catholic College,1011
Eastern Hills Senior High School,995
Kalamunda Senior High School,1017
Merredin College,954
Greenwood College,1032
La Salle College,1020
Belridge Secondary College,1015
Narrogin Senior High School,968
Lynwood Senior High School,980
North Albany Senior High School,970
Belmont City College,968
Aranmore Catholic College,991
Hampton Senior High School,979
Australind Senior High School,977
Foundation Christian College,1030
Comet Bay College,1013
Darling Range Sports College,976
Cape Naturaliste College,1008
Warwick Senior High School,972
Atwell College,1012
Collie Senior High School,931
Byford Secondary College,989
Esperance Senior High School,972
Court Grammar School,1009
Governor Stirling Senior High School,974
Kelmscott Senior High School,983
Wanneroo Secondary College,991
Ellenbrook Secondary College,986
Lakeland Senior High School,951
Joseph Banks Secondary College,1013
Dalyellup College,981
Halls Head College,930
Butler College,993
Baldivis Secondary College,987
Newton Moore Senior High School,920
Fremantle College,981
John Tonkin College,980
Broome Senior High School,932
Safety Bay Senior High School,978
Thornlie Senior High School,976
Busselton Senior High School,947
Bullsbrook College,979
Pinjarra Senior High School,963
Warnbro Community High School,872
Gilmore College,911
Rockingham Senior High School,971
Karratha Senior High School,944
Hedland Senior High School,908
Southern River College,937
Northam Senior High School,924
Cecil Andrews College,898
Clarkson Community High School,921
Dianella Secondary College,984
Eastern Goldfields College,990
Geraldton Senior High School,904
Manea Senior College,1022
Mindarie Senior College,1034
Our Lady of Mercy College,1035
Sevenoaks Senior College,976
Western Australian College Of Agriculture - Cunderdin,1009
