School,Year,Rank,Level,Reading,Writing,Spelling,Grammar,Numeracy,Average
Perth Modern School,2019,1,Year 9,694,667,695,704,729,697.8
St Hilda's Anglican School for Girls,2019,2,Year 9,649,636,631,644,652,642.4
Presbyterian Ladies' College,2019,3,Year 9,641,633,636,637,658,641
St Mary's Anglican Girls' School,2019,4,Year 9,640,631,634,637,657,639.8
Rehoboth Christian College,2019,5,Year 9,633,605,637,641,654,634
Perth College,2019,6,Year 9,639,622,627,635,646,633.8
Methodist Ladies' College,2019,7,Year 9,634,619,633,635,647,633.6
Rossmoyne Senior High School,2019,8,Year 9,627,622,635,626,656,633.2
All Saints' College,2019,9,Year 9,632,619,633,618,658,632
Hale School,2019,10,Year 9,638,600,622,620,673,630.6
Shenton College,2019,11,Year 9,638,627,621,623,644,630.6
Christ Church Grammar School,2019,12,Year 9,635,593,624,627,667,629.2
Langford Islamic College,2019,13,Year 9,615,599,646,635,637,626.4
John Calvin Christian College,2019,14,Year 9,633,589,633,632,640,625.4
Willetton Senior High School,2019,15,Year 9,622,597,629,618,659,625
International School of Western Australia,2019,16,Year 9,626,607,632,618,642,625
John Curtin College of the Arts,2019,17,Year 9,631,604,623,628,636,624.4
Penrhos College,2019,18,Year 9,629,609,621,621,622,620.4
Iona Presentation College,2019,19,Year 9,619,614,617,619,629,619.6
Frederick Irwin Anglican School,2019,20,Year 9,620,593,615,617,646,618.2
Wesley College,2019,21,Year 9,625,586,608,622,647,617.6
Churchlands Senior High School,2019,22,Year 9,623,597,610,613,644,617.4
Applecross Senior High School,2019,23,Year 9,619,601,615,617,634,617.2
Leeming Senior High School,2019,24,Year 9,614,593,620,612,642,616.2
Santa Maria College,2019,25,Year 9,616,616,612,610,622,615.2
Helena College,2019,26,Year 9,634,591,602,620,627,614.8
Kingsway Christian College,2019,27,Year 9,621,602,611,610,629,614.6
Mount Lawley Senior High School,2019,28,Year 9,622,590,614,611,634,614.2
Mercedes College,2019,29,Year 9,615,601,611,621,621,613.8
St George's Anglican Grammar School,2019,30,Year 9,625,585,611,619,627,613.4
John XXIII College,2019,31,Year 9,624,597,612,603,630,613.2
Trinity College,2019,32,Year 9,615,591,610,600,641,611.4
OneSchool Global WA,2019,33,Year 9,618,578,618,604,636,610.8
Bunbury Cathedral Grammar School,2019,34,Year 9,625,588,596,611,633,610.6
Great Southern Grammar,2019,35,Year 9,622,578,604,605,643,610.4
Corpus Christi College,2019,36,Year 9,612,594,615,604,624,609.8
Providence Christian College,2019,37,Year 9,607,597,633,610,602,609.8
John Calvin School,2019,38,Year 9,605,614,610,601,619,609.8
Chisholm Catholic College,2019,39,Year 9,612,584,612,607,628,608.6
St Mark's Anglican Community School,2019,40,Year 9,621,583,607,599,628,607.6
Ursula Frayne Catholic College,2019,41,Year 9,609,595,613,600,619,607.2
Scotch College,2019,42,Year 9,619,583,594,606,634,607.2
Guildford Grammar School,2019,43,Year 9,619,583,601,597,635,607
Carmel School,2019,44,Year 9,604,590,606,609,626,607
St Stephen's School - Duncraig,2019,45,Year 9,618,594,601,603,615,606.2
St Stephen's School - Carramar,2019,46,Year 9,618,594,601,603,615,606.2
Christmas Island District High School,2019,47,Year 9,611,602,611,602,601,605.4
Sacred Heart College,2019,48,Year 9,606,590,608,598,622,604.8
Perth Waldorf School,2019,49,Year 9,617,578,597,610,617,603.8
Quinns Baptist College,2019,50,Year 9,605,583,608,610,612,603.6
Kennedy Baptist College,2019,51,Year 9,606,583,601,598,629,603.4
St Brigid's College,2019,52,Year 9,611,591,604,605,606,603.4
Duncraig Senior High School,2019,53,Year 9,608,584,598,597,625,602.4
Lake Joondalup Baptist College,2019,54,Year 9,606,605,604,594,603,602.4
School of Isolated and Distance Education,2019,55,Year 9,604,579,619,604,606,602.4
Aquinas College,2019,56,Year 9,613,574,596,592,635,602
Christian Brothers' College,2019,57,Year 9,607,588,595,592,625,601.4
Melville Senior High School,2019,58,Year 9,601,586,603,593,622,601
Australian Islamic College - Dianella,2019,59,Year 9,601,565,609,612,613,600
John Septimus Roe Anglican Community School,2019,60,Year 9,601,586,599,592,614,598.4
Living Waters Lutheran College,2019,61,Year 9,605,584,597,593,613,598.4
Carey Baptist College,2019,62,Year 9,601,573,607,593,616,598
Como Secondary College,2019,63,Year 9,602,568,602,597,619,597.6
