School,Suburb,Longitude,Latitude
Adam Road Primary School,South Bunbury,115.63537099999999,-33.357951
Al-Hidayah Islamic School,Bentley,115.91156409999998,-32.01035814
Albany Community Kindergarten,Albany,117.8809869,-35.02145966
Albany Primary School,Albany,117.89161059999999,-35.01821151
Albany Secondary Education Support Centre,Albany,117.86686740000002,-34.99074882
Albany Senior High School,Albany,117.8917733,-35.02044765
Alinjarra Primary School,Alexander Heights,115.8701402,-31.82962571
Alkimos Baptist College,Merriwa,115.7101785,-31.66032819
Alkimos Beach Primary School,Alkimos,115.67865900000001,-31.625186
Alkimos College,Alkimos,115.69423300000001,-31.629987
Alkimos Primary School,Alkimos,115.70265729999998,-31.62699105
All Saints' College,Bull Creek,115.867023,-32.04946998
Allanson Primary School,Allanson,116.099005,-33.33580893
Allendale Primary School,Geraldton,114.6237354,-28.76430303
Alta-1,Joondalup,115.81331259999999,-31.78537164
Amaroo Primary School,Collie,116.14966299999999,-33.35205078
Anne Hamersley Primary School,Ellenbrook,116.0087173,-31.74539641
Anzac Terrace Primary School,Bassendean,115.93725309999999,-31.89719261
Applecross Primary School,Applecross,115.83959840000001,-32.01084327
Applecross Senior High School,Ardross,115.83509,-32.029376
Aquinas College,Salter Point,115.86175379999999,-32.02617519
Aranmore Catholic College,Leederville,115.8431695,-31.92706854
Aranmore Catholic Primary School,Leederville,115.8392341,-31.92790363
Arbor Grove Primary School,Ellenbrook,115.96263700000002,-31.77105084
Ardross Primary School,Ardross,115.83465770000001,-32.027440500000004
Armadale Education Support Centre,Armadale,116.0143523,-32.16152603
Armadale Primary School,Armadale,116.0264848,-32.14823967
Armadale Senior High School,Armadale,116.0143523,-32.16152603
Ashburton Drive Primary School,Gosnells,115.9841976,-32.086230699999994
Ashdale Primary School,Darch,115.84375379999999,-31.80875751
Ashdale Secondary College,Darch,115.84149520000001,-31.81162275
Ashfield Primary School,Ashfield,115.94090179999999,-31.91530992
Aspiri Primary School,Piara Waters,115.912209,-32.138988
Assumption Catholic Primary School,Mandurah,115.74643209999999,-32.50994328
Atlantis Beach Baptist College,Two Rocks,115.644623,-31.473535
Attadale Primary School,Attadale,115.8018145,-32.02544682
Atwell College,Atwell,115.86414620000001,-32.14395682
Atwell Primary School,Atwell,115.867828,-32.13527555
Aubin Grove Primary School,Aubin Grove,115.86235220000002,-32.17306065
Augusta Primary School,Augusta,115.1595029,-34.31671839
Austin Cove Baptist College,South Yunderup,115.80651540000001,-32.59324476
Australian Christian College - Darling Downs,Hilbert,116.00429440000002,-32.17468068
Australian Christian College - Southlands,Albany,117.92270559999999,-34.99550802
Australian Islamic College - Kewdale,Kewdale,115.9325273,-31.97999061
Australian Islamic College - Dianella,Dianella,115.8744467,-31.90293601
Australian Islamic College - Thornlie,Thornlie,115.9611396,-32.05402507
Australind Primary School,Australind,115.7271368,-33.28059897
Australind Senior High School,Australind,115.7284365,-33.27665965
Aveley North Primary School,Aveley,115.991854,-31.778440999999997
Aveley Primary School,Aveley,115.99055859999999,-31.79108088
Aveley Secondary College,Ellenbrook,115.987559,-31.767003999999996
Avonvale Education Support Centre,Northam,116.6613138,-31.64551218
Avonvale Primary School,Northam,116.6613138,-31.64551218
Babakin Primary School,Babakin,118.0209226,-32.12359155
Badgingarra Primary School,Badgingarra,115.550545,-30.4024941
Bakers Hill Primary School,Bakers Hill,116.46159840000001,-31.75120467
Balcatta Primary School,Balcatta,115.82727290000001,-31.88093054
Balcatta Senior High School,Balcatta,115.8122429,-31.87551716
Baldivis Gardens Primary School,Baldivis,115.81006200000002,-32.300823
Baldivis Primary School,Baldivis,115.81747220000001,-32.30718679
Baldivis Secondary College,Baldivis,115.828418,-32.334099
Baler Primary School,South Hedland,118.61245579999999,-20.40461541
Balga Primary School,Balga,115.84480009999999,-31.86059553
Balga Senior High School,Balga,115.84650420000001,-31.85134146
Balingup Primary School,Balingup,115.98220690000001,-33.78633822
Ballajura Community College,Ballajura,115.8934345,-31.84474671
Ballajura Primary School,Ballajura,115.892303,-31.83593382
Bambara Primary School,Padbury,115.76142069999999,-31.79830122
Banksia Grove Primary School,Banksia Grove,115.8089621,-31.70254405
Banksia Montessori School,Dianella,115.86928229999998,-31.89277585
Banksia Park Primary School,Leeming,115.87545829999999,-32.07166263
Bannister Creek Primary School,Lynwood,115.92850220000001,-32.0397245
Bassendean Primary School,Bassendean,115.95344509999998,-31.90747284
Bateman Primary School,Bateman,115.8453415,-32.05066001
Baynton West Primary School,Baynton,116.79938999999999,-20.75252283
Bayswater Primary School,Bayswater,115.91177330000001,-31.92081606
Bayulu Remote Community School,Via Fitzroy Crossing,125.58345,-18.28637
Beachlands Primary School,Geraldton,114.6043717,-28.78770753
Beacon Primary School,Beacon,117.86889779999998,-30.45065535
Beaconsfield Primary School,Beaconsfield,115.75938640000001,-32.068989
Beaumaris Primary School,Ocean Reef,115.73555290000002,-31.74874488
Beckenham Primary School,Beckenham,115.9573041,-32.02408598
Beechboro Christian School,Beechboro,115.93400829999999,-31.85664957
Beechboro Primary School,Beechboro,115.9357571,-31.86780968
Beeliar Primary School,Beeliar,115.82072279999998,-32.13297396
Beenyup Primary School,Byford,115.992722,-32.233554
Beldon Education Support Centre,Beldon,115.75725220000001,-31.774655600000003
Beldon Primary School,Beldon,115.75725220000001,-31.774655600000003
Belmay Primary School,Cloverdale,115.9466374,-31.9507814
Belmont City College,Belmont,115.9344344,-31.95889136
Belmont Primary School,Belmont,115.92282560000001,-31.94467587
Belridge Secondary College,Beldon,115.76317590000001,-31.77038385
Belridge Secondary Education Support Centre,Beldon,115.76317590000001,-31.77038385
Bencubbin Primary School,Bencubbin,117.85726149999999,-30.8076984
Bentley Primary School,Bentley,115.9115642,-32.01035815
Bertram Primary School,Bertram,115.84354099999999,-32.24665386
Bethel Christian School,Albany,117.88118500000002,-35.00481744
Beverley District High School,Beverley,116.92769440000001,-32.10031422
Bible Baptist Christian Academy,Mount Helena,116.21585470000001,-31.87584448
Bibra Lake Primary School,Bibra Lake,115.83915049999999,-32.09409186
Bicton Primary School,Bicton,115.786548,-32.03272881
Bindoon Primary School,Bindoon,116.09710020000001,-31.38017209
Binnu Primary School,Binnu,114.67558909999998,-28.04197194
Birlirr Ngawiyiwu Catholic School,Via Halls Creek,128.615847,-18.794047
Bletchley Park Primary School,Southern River,115.9462328,-32.10259536
Blue Gum Montessori School Inc,Bibra Lake,115.838553,-32.08519543
Bluff Point Primary School,Bluff Point,114.6215834,-28.7403527
Bob Hawke College,Subiaco,115.8323,-31.944538
Boddington District High School,Boddington,116.46708799999999,-32.80157748
Bold Park Community School,Wembley,115.82318470000001,-31.92384064
Bolgart Primary School,Bolgart,116.51086059999999,-31.27358225
Booragoon Primary School,Booragoon,115.8264595,-32.03553443
Borden Primary School,Borden,118.26303119999999,-34.07290497
Boulder Primary School,Boulder,121.4875325,-30.78003681
Boyanup Primary School,Boyanup,115.7308445,-33.48596223
Boyare Primary School,Mirrabooka,115.8734207,-31.85724948
Boyup Brook District High School,Boyup Brook,116.3913376,-33.83634699
Brabham Primary School,Brabham,115.97205,-31.821305
Braeside Primary School,Katanning,117.56,-33.679
Bramfield Park Primary School,Maddington,115.99503590000002,-32.04680274
Bremer Bay Primary School,Bremer Bay,119.37476000000001,-34.393283000000004
Brentwood Primary School,Brentwood,115.847177,-32.04149754
Bridgetown High School,Bridgetown,116.14209070000001,-33.95993882
Bridgetown Primary School,Bridgetown,116.1407977,-33.95485467
Brookman Primary School,Langford,115.9390727,-32.03670459
Brookton District High School,Brookton,117.00868170000001,-32.37207392
Broome North Primary School,Broome,122.2301416,-17.926637399999997
Broome Primary School,Broome,122.23796259999999,-17.96120109
Broome Senior High School,Broome,122.23232639999999,-17.95614273
Broomehill Primary School,Broomehill,117.6342811,-33.84507375
Bruce Rock District High School,Bruce Rock,118.14766270000001,-31.87363474
Brunswick Junction Primary School,Brunswick Junction,115.8341389,-33.2517339
Bull Creek Primary School,Bull Creek,115.86100640000001,-32.06013661
Bullsbrook College,Bullsbrook,116.033179,-31.66171848
Bullsbrook Community Kindergarten,East Bullsbrook,116.0303767,-31.66245045
Bunbury Baptist College,Dalyellup,115.627001,-33.400403000000004
Bunbury Cathedral Grammar School,Gelorup,115.63864,-33.404668
Bunbury Catholic College,Bunbury,115.6614239,-33.34342203
Bunbury Primary School,Bunbury,115.63810420000001,-33.33305655
Bunbury Regional Community College,Bunbury,115.63713999999999,-33.32065
Bunbury Senior High School,Bunbury,115.63260770000001,-33.32746917
Bungaree Primary School,Rockingham,115.73782369999999,-32.29110842
Burbridge School,Koondoola,115.8619753,-31.83872675
Burrendah Primary School,Willetton,115.88057820000002,-32.05988334
Burringurrah Remote Community School,Mount James,116.932686,-24.651178
Busselton Primary School,Busselton,115.3763212,-33.63955416
Busselton Senior High School,Busselton,115.3250971,-33.657577200000006
Butler College,Butler,115.70870079999999,-31.65166367
Butler Primary School,Butler,115.7027364,-31.6461099
Byford Community Kindergarten,Byford,116.01245049999999,-32.21674443
Byford John Calvin School,Byford,116.00571459999999,-32.22411516
Byford Primary School,Byford,116.0121953,-32.21943768
Byford Secondary College,Byford,116.00187930000001,-32.22343162
Cable Beach Primary School,Broome,122.2164767,-17.95879062
Cadoux Primary School,Cadoux,117.1366031,-30.77070399
Caladenia Primary School,Canning Vale,115.93272900000001,-32.07496451
Calingiri Primary School,Calingiri,116.449243,-31.090094
Calista Primary School,Calista,115.81060459999999,-32.24514843
Camboon Primary School,Noranda,115.89105420000001,-31.87744461
Campbell Primary School,Canning Vale,115.9307582,-32.08812075
Canning College,Bentley,115.8971202,-32.00942925
Canning Vale College,Canning Vale,115.9227838,-32.08291838
Canning Vale Education Support Centre,Canning Vale,115.9128115,-32.0760558
Canning Vale Primary School,Canning Vale,115.9128115,-32.0760558
Cannington Community College,Cannington,115.9370814,-32.013946999999995
Cannington Community Education Support Centre,Cannington,115.9370814,-32.013946999999995
Cape Naturaliste College,Vasse,115.24388909999999,-33.67693545
Capel Primary School,Capel,115.5647487,-33.55724062
Caralee Community School,Willagee,115.80434609999999,-32.05149344
Carcoola Primary School,Pinjarra,115.89350400000001,-32.605769
Carey Baptist College,Harrisdale,115.9355423,-32.11159158
Carey Baptist College - Forrestdale,Forrestdale,115.9181942,-32.16104802
Carey Park Primary School,Carey Park,115.6505098,-33.34906206
Carine Primary School,Carine,115.77250120000001,-31.85137169
Carine Senior High School,Carine,115.775848,-31.85299735
Carlisle Primary School,Kewdale,115.921255,-31.972706
Carmel Adventist College,Carmel,116.09403710000001,-32.01473096
Carmel Adventist College Primary,Carmel,116.091127,-32.006706
Carmel School,Dianella,115.86207490000001,-31.89910743
Carnaby Rise Primary School,Landsdale,115.87498899999999,-31.81744
Carnamah District High School,Carnamah,115.89309899999999,-29.68727976
Carnarvon Christian School (Inc),Carnarvon,113.65762209999998,-24.87551778
Carnarvon Community College,East Carnarvon,113.67641499999999,-24.867098000000002
Carnarvon School Of The Air,Carnarvon,113.6607577,-24.88431096
Carramar Primary School,Carramar,115.78572109999999,-31.71147916
Carson Street School,East Victoria Park,115.90607659999998,-31.99317499
Casa Mia Montessori Community School,Bassendean,115.9519135,-31.90308107
Cascade Primary School,Cascade,121.0723384,-33.46836264
Cassia Education Support Centre,South Hedland,118.60790949999999,-20.40888577
Cassia Primary School,South Hedland,118.60790949999999,-20.40888577
Castlereagh School,Willetton,115.88180870000001,-32.06093787
Castletown Primary School,Esperance,121.9084582,-33.83182737
Caversham Primary School,West Swan,115.9831127,-31.85860491
Caversham Valley Primary School,Caversham,115.968879,-31.867901
Cecil Andrews College,Armadale,115.9918834,-32.14118727
Central Midlands Senior High School,Moora,116.0152142,-30.64115241
Cervantes Primary School,Cervantes,115.0659247,-30.4991469
