School,Sector,Gender,Religion
Mercedes College,Non-government,Girls,Catholic
Wesley College,Non-government,Boys,Christian
Penrhos College,Non-government,Girls,Uniting
Newman College,Non-government,Co-ed,Catholic
St Norbert College,Non-government,Co-ed,Catholic
St Hilda's Anglican School for Girls,Non-government,Girls,Anglican
Corpus Christi College,Non-government,Co-ed,Catholic
Guildford Grammar School,Non-government,Co-ed,Anglican
Rehoboth Christian College,Non-government,Co-ed,Christian
St Stephen's School - Duncraig,Non-government,Co-ed,Christian
Sacred Heart College,Non-government,Co-ed,Catholic
Carey Baptist College,Non-government,Co-ed,Christian
Lumen Christi College,Non-government,Co-ed,Catholic
John Wollaston Anglican Community School,Non-government,Co-ed,Anglican
Kolbe Catholic College,Non-government,Co-ed,Catholic
Tranby College,Non-government,Co-ed,Uniting
Presbyterian Ladies' College,Non-government,Girls,Uniting
St Mary's Anglican Girls' School,Non-government,Girls,Anglican
Hale School,Non-government,Boys,Anglican
South Coast Baptist College,Non-government,Co-ed,Christian
Swan Christian College,Non-government,Co-ed,Christian
Foundation Christian College,Non-government,Co-ed,Christian
All Saints' College,Non-government,Co-ed,Anglican
St George's Anglican Grammar School,Non-government,Co-ed,Anglican
Trinity College,Non-government,Boys,Catholic
Perth Modern School,Government,Co-ed,Secular
Perth College,Non-government,Girls,Catholic
Christ Church Grammar School,Non-government,Boys,Anglican
Methodist Ladies' College,Non-government,Girls,Methodist
Ursula Frayne Catholic College,Non-government,Co-ed,Catholic
Shenton College,Government,Co-ed,Secular
Rossmoyne Senior High School,Government,Co-ed,Secular
Willetton Senior High School,Government,Co-ed,Secular
Santa Maria College,Non-government,Girls,Catholic
Iona Presentation College,Non-government,Girls,Catholic
John XXIII College,Non-government,Co-ed,Catholic
Scotch College,Non-government,Boys,Christian
Kennedy Baptist College,Non-government,Co-ed,Baptist
Chisholm Catholic College,Non-government,Co-ed,Catholic
Applecross Senior High School,Government,Co-ed,Secular
Churchlands Senior High School,Government,Co-ed,Secular
John Curtin College of the Arts,Government,Co-ed,Secular
Servite College,Non-government,Co-ed,Catholic
St Mary Mackillop College,Non-government,Co-ed,Catholic
Providence Christian College,Non-government,Co-ed,Christian
Carine Senior High School,Government,Co-ed,Secular
Mount Lawley Senior High School,Government,Co-ed,Secular
Aquinas College,Non-government,Boys,Catholic
Carmel School,Non-government,Co-ed,Jewish
St Stephen's School - Carramar,Non-government,Co-ed,Christian
Christian Brothers' College,Non-government,Boys,Catholic
Peter Moyes Anglican Community School,Non-government,Co-ed,Anglican
Lynwood Senior High School,Government,Co-ed,Secular
