School,Year,Rank,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2020,1,97.55,242,242,100.0,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
St Hilda's Anglican School for Girls,2020,2,92.7,147,134,91.16,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Christ Church Grammar School,2020,3,92.5,190,175,92.11,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Penrhos College,2020,4,90.65,135,116,85.93,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Methodist Ladies' College,2020,5,90.55,126,112,88.89,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
Hale School,2020,6,90.35,194,169,87.11,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
St Mary's Anglican Girls' School,2020,7,90.3,153,128,83.66,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
John XXIII College,2020,8,89.5,168,132,78.57,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Perth College,2020,9,89.4,129,116,89.92,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Santa Maria College,2020,10,89.35,176,120,68.18,Attadale,115.795823,-32.018614,Non-government,Girls,Catholic
Presbyterian Ladies' College,2020,11,89.2,109,97,88.99,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Kennedy Baptist College,2020,12,88.95,167,84,50.3,Murdoch,115.829647,-32.073356,Non-government,Co-ed,Baptist
Carmel School,2020,13,88.85,33,32,96.97,Dianella,115.8620749,-31.89910743,Non-government,Co-ed,Jewish
Shenton College,2020,14,88.6,343,246,71.72,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
Mercedes College,2020,15,88.55,139,101,72.66,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Rossmoyne Senior High School,2020,16,88.4,368,274,74.46,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
Iona Presentation College,2020,17,87.8,134,91,67.91,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
Willetton Senior High School,2020,18,87.75,393,277,70.48,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Sacred Heart College,2020,19,87.6,229,147,64.19,Sorrento,115.74657,-31.82737166,Non-government,Co-ed,Catholic
Mount Lawley Senior High School,2020,20,86.45,234,152,64.96,Mount Lawley,115.8697493,-31.92122258,Government,Co-ed,Secular
All Saints' College,2020,21,86.35,146,120,82.19,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
Churchlands Senior High School,2020,22,85.9,415,263,63.37,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular
Aquinas College,2020,23,85.85,174,108,62.07,Salter Point,115.8617538,-32.02617519,Non-government,Boys,Catholic
Scotch College,2020,24,85.35,175,130,74.29,Swanbourne,115.7731945,-31.98113329,Non-government,Boys,Christian
John Curtin College of the Arts,2020,25,85.25,224,146,65.18,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular
Mazenod College,2020,25,85.25,122,61,50.0,Lesmurdie,116.0388409,-32.006679,Non-government,Boys,Catholic
Our Lady of Mercy College,2020,27,85.2,54,25,46.3,Australind,115.740064,-33.270941,Non-government,Co-ed,Catholic
Corpus Christi College,2020,28,84.95,228,140,61.4,Bateman,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
Bunbury Cathedral Grammar School,2020,29,84.8,75,61,81.33,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
Chisholm Catholic College,2020,29,84.8,234,126,53.85,Bedford,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
St Stephen's School - Carramar,2020,31,84.75,194,107,55.15,Carramar,115.78828,-31.71704,Non-government,Co-ed,Christian
Duncraig Senior High School,2020,32,84.5,190,95,50.0,Duncraig,115.767131,-31.82190527,Government,Co-ed,Secular
Mandurah Catholic College,2020,32,84.5,199,83,41.71,Mandurah,115.73828600000002,-32.54895945,Non-government,Co-ed,Catholic
Applecross Senior High School,2020,34,84.3,234,145,61.97,Ardross,115.83509,-32.029376,Government,Co-ed,Secular
Comet Bay College,2020,35,84.0,245,52,21.22,Secret Harbour,115.7629996,-32.415805199999994,Government,Co-ed,Secular
John Septimus Roe Anglican Community School,2020,35,84.0,167,84,50.3,Mirrabooka,115.8567055,-31.85936631,Non-government,Co-ed,Anglican
Wesley College,2020,37,83.9,144,119,82.64,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Providence Christian College,2020,38,83.85,57,35,61.4,Southern River,115.93669409999998,-32.09974606,Non-government,Co-ed,Christian
Butler College,2020,39,83.7,170,36,21.18,Butler,115.7087008,-31.65166367,Government,Co-ed,Secular
John Wollaston Anglican Community School,2020,40,83.3,75,29,38.67,Camillo,116.007834,-32.104726,Non-government,Co-ed,Anglican
Ursula Frayne Catholic College,2020,41,83.15,115,82,71.3,Victoria Park,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
St Norbert College,2020,42,83.0,136,43,31.62,Queens Park,115.9403443,-32.00436432,Non-government,Co-ed,Catholic
Trinity College,2020,43,82.85,136,90,66.18,East Perth,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
Newman College,2020,44,82.7,171,112,65.5,Churchlands,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
Georgiana Molloy Anglican School,2020,45,82.6,62,39,62.9,Busselton,115.3815495,-33.6606425,Non-government,Co-ed,Anglican
Mercy College,2020,46,82.5,166,57,34.34,Koondoola,115.8575544,-31.84725114,Non-government,Co-ed,Catholic
Carine Senior High School,2020,47,82.35,197,85,43.15,Carine,115.775848,-31.85299735,Government,Co-ed,Secular
Margaret River Senior High School,2020,47,82.35,116,46,39.66,Margaret River,115.0746714,-33.95431827,Government,Co-ed,Secular
Christian Brothers' College,2020,49,82.2,112,66,58.93,Fremantle,115.7533646,-32.05178739,Non-government,Boys,Catholic
Kingsway Christian College,2020,50,81.65,102,77,75.49,Darch,115.8374044,-31.81156717,Non-government,Co-ed,Christian
Living Waters Lutheran College,2020,51,81.5,57,21,36.84,Warnbro,115.7544169,-32.34307717,Non-government,Co-ed,Lutheran
Guildford Grammar School,2020,52,81.35,107,81,75.7,Guildford,115.981892,-31.894036,Non-government,Co-ed,Anglican
La Salle College,2020,53,81.25,208,59,28.37,Middle Swan,116.004411,-31.87856979,Non-government,Co-ed,Catholic
Swan Valley Anglican Community School,2020,53,81.25,82,41,50.0,Aveley,115.98545159999998,-31.79434482,Non-government,Co-ed,Anglican
Peter Moyes Anglican Community School,2020,55,81.05,90,57,63.33,Mindarie,115.7075982,-31.67541576,Non-government,Co-ed,Anglican
John Calvin Christian College,2020,56,80.95,46,31,67.39,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian
Belmont City College,2020,57,80.85,97,26,26.8,Belmont,115.9344344,-31.95889136,Government,Co-ed,Secular
Emmanuel Catholic College,2020,58,80.8,162,43,26.54,Success,115.8400696,-32.12857818,Non-government,Co-ed,Catholic
St Mark's Anglican Community School,2020,58,80.8,154,113,73.38,Hillarys,115.7428728,-31.79848743,Non-government,Co-ed,Anglican
Prendiville Catholic College,2020,60,80.45,159,85,53.46,Ocean Reef,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
Melville Senior High School,2020,61,80.35,197,92,46.7,Melville,115.8054613,-32.04631125,Government,Co-ed,Secular
Carey Baptist College,2020,62,80.3,114,69,60.53,Harrisdale,115.9355423,-32.11159158,Non-government,Co-ed,Christian
Tranby College,2020,62,80.3,64,27,42.19,Baldivis,115.8002428,-32.3405703,Non-government,Co-ed,Uniting
Manjimup Senior High School,2020,64,80.05,100,28,28.0,Manjimup,116.133228,-34.233842,Government,Co-ed,Secular
Servite College,2020,65,80.0,152,67,44.08,Tuart Hill,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
Cape Naturaliste College,2020,66,79.95,110,35,31.82,Vasse,115.2438891,-33.67693545,Government,Co-ed,Secular
Esperance Senior High School,2020,67,79.9,124,42,33.87,Esperance,121.868258,-33.86017872,Government,Co-ed,Secular
Canning Vale College,2020,68,79.8,207,82,39.61,Canning Vale,115.9227838,-32.08291838,Government,Co-ed,Secular
Frederick Irwin Anglican School,2020,69,79.65,120,92,76.67,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican
St Mary Mackillop College,2020,70,79.3,97,51,52.58,Busselton,115.3302509,-33.66260748,Non-government,Co-ed,Catholic
Bunbury Catholic College,2020,71,78.95,93,34,36.56,Bunbury,115.6614239,-33.34342203,Non-government,Co-ed,Catholic
Lesmurdie Senior High School,2020,71,78.95,124,44,35.48,Lesmurdie,116.0516431,-32.01252075,Government,Co-ed,Secular
Denmark Senior High School,2020,73,78.9,47,20,42.55,Denmark,117.3645842,-34.95741408,Government,Co-ed,Secular
John Forrest Secondary College,2020,74,78.7,161,52,32.3,Morley,115.90089,-31.90416352,Government,Co-ed,Secular
Ashdale Secondary College,2020,75,78.65,218,84,38.53,Darch,115.8414952,-31.81162275,Government,Co-ed,Secular
