Year,Rank,School,Median ATAR,No. eligible Yr 12 students,No. Students with an ATAR,Percentage of students with an ATAR,Longitude,Latitude,Sector,Gender,Religion
2016,1,Perth Modern School,95.55,222,220,99.1,115.83639579999999,-31.94506602,Government,Co-ed,Secular
2016,2,Presbyterian Ladies' College,92.9,122,110,90.16,115.76490600000001,-31.993592,Non-government,Girls,Uniting
2016,3,Penrhos College,92.65,145,123,84.83,115.87253940000001,-31.99743072,Non-government,Girls,Uniting
2016,4,Christ Church Grammar School,92.5,188,171,90.96,115.7769868,-31.98546117,Non-government,Boys,Anglican
2016,5,Santa Maria College,91.85,189,151,79.89,115.795823,-32.018614,Non-government,Girls,Catholic
2016,6,St Hilda's Anglican School for Girls,91.4,135,127,94.07,115.767812,-32.005047,Non-government,Girls,Anglican
2016,7,Perth College,90.55,140,127,90.71,115.87548090000001,-31.93117853,Non-government,Girls,Catholic
2016,8,St Mary's Anglican Girls' School,90.4,174,156,89.66,115.766244,-31.87697112,Non-government,Girls,Anglican
2016,9,Methodist Ladies' College,90.3,102,100,98.04,115.77554029999999,-31.98701169,Non-government,Girls,Methodist
2016,10,Shenton College,90.0,287,210,73.17,115.803008,-31.95969986,Government,Co-ed,Secular
2016,11,Hale School,89.8,198,181,91.41,115.7837828,-31.91232249,Non-government,Boys,Anglican
2016,12,Carmel School,89.35,24,24,100.0,115.86207490000001,-31.89910743,Non-government,Co-ed,Jewish
2016,13,John XXIII College,88.6,157,139,88.54,115.78479879999999,-31.9599189,Non-government,Co-ed,Catholic
2016,14,Willetton Senior High School,88.05,389,289,74.29,115.8792246,-32.06131317,Government,Co-ed,Secular
2016,15,Rossmoyne Senior High School,87.35,366,310,84.7,115.8705457,-32.04626472,Government,Co-ed,Secular
2016,16,Scotch College,87.3,161,138,85.71,115.7731945,-31.98113329,Non-government,Boys,Christian
2016,17,Iona Presentation College,86.7,150,109,72.67,115.76773490000002,-32.00852636,Non-government,Girls,Catholic
2016,18,Margaret River Senior High School,86.4,108,48,44.44,115.07467140000001,-33.95431827,Government,Co-ed,Secular
2016,19,Corpus Christi College,86.35,210,134,63.81,115.84290559999998,-32.05699614,Non-government,Co-ed,Catholic
2016,19,Sacred Heart College,86.35,213,161,75.59,115.74656999999999,-31.82737166,Non-government,Co-ed,Catholic
2016,21,Trinity College,85.7,194,157,80.93,115.88257659999998,-31.96013472,Non-government,Boys,Catholic
2016,22,Lake Joondalup Baptist College,85.4,140,100,71.43,115.7614206,-31.73747504,Non-government,Co-ed,Baptist
2016,23,Mercedes College,85.35,153,129,84.31,115.8670832,-31.95623304,Non-government,Girls,Catholic
2016,24,Applecross Senior High School,85.1,237,176,74.26,115.83509,-32.029376,Government,Co-ed,Secular
2016,24,St Stephen's School - Carramar,85.1,102,67,65.69,115.78828,-31.71704,Non-government,Co-ed,Christian
2016,26,All Saints' College,85.0,123,108,87.8,115.867023,-32.04946998,Non-government,Co-ed,Anglican
2016,27,Guildford Grammar School,84.85,111,84,75.68,115.98189199999999,-31.894036,Non-government,Co-ed,Anglican
2016,28,Churchlands Senior High School,84.7,346,271,78.32,115.7899902,-31.91728978,Government,Co-ed,Secular
2016,29,St Mary Mackillop College,84.65,110,66,60.0,115.33025090000001,-33.66260748,Non-government,Co-ed,Catholic
2016,30,St Norbert College,84.55,141,64,45.39,115.94034429999999,-32.00436432,Non-government,Co-ed,Catholic
2016,31,Newman College,84.5,190,142,74.74,115.7873551,-31.9231958,Non-government,Co-ed,Catholic
2016,32,Ursula Frayne Catholic College,84.45,119,84,70.59,115.8990335,-31.97297817,Non-government,Co-ed,Catholic
2016,33,John Calvin Christian College,84.35,51,38,74.51,116.0066034,-32.14876453,Non-government,Co-ed,Christian
2016,34,John Curtin College of the Arts,84.25,200,154,77.0,115.75622379999999,-32.04863279,Government,Co-ed,Secular
2016,35,Eastern Goldfields College,83.8,151,32,21.19,121.47537460000001,-30.75101639,Government,Co-ed,Secular
2016,36,Chisholm Catholic College,83.7,274,192,70.07,115.90056470000002,-31.91151257,Non-government,Co-ed,Catholic
2016,37,Aquinas College,83.4,184,135,73.37,115.86175379999999,-32.02617519,Non-government,Boys,Catholic
2016,38,St Stephen's School - Duncraig,83.15,145,118,81.38,115.7806424,-31.819274800000002,Non-government,Co-ed,Christian
2016,39,St Brigid's College,82.75,98,62,63.27,116.05206640000002,-31.99663035,Non-government,Girls,Catholic
2016,40,Carine Senior High School,82.45,241,121,50.21,115.775848,-31.85299735,Government,Co-ed,Secular
2016,41,Great Southern Grammar,82.25,92,76,82.61,117.9707332,-34.94755539,Non-government,Co-ed,Christian
2016,41,John Paul College,82.25,72,53,73.61,121.47871540000001,-30.76410096,Non-government,Co-ed,Catholic
2016,41,Kennedy Baptist College,82.25,202,131,64.85,115.829647,-32.073356,Non-government,Co-ed,Baptist
2016,44,Carey Baptist College,82.2,140,96,68.57,115.9355423,-32.11159158,Non-government,Co-ed,Christian
2016,45,Woodvale Secondary College,82.15,268,121,45.15,115.7994712,-31.79154969,Government,Co-ed,Secular
2016,46,Bunbury Cathedral Grammar School,82.0,107,99,92.52,115.63864,-33.404668,Non-government,Co-ed,Christian
2016,47,Australian Islamic College - Dianella,81.85,86,68,79.07,115.8744467,-31.90293601,Non-government,Co-ed,Islam
2016,48,Mount Lawley Senior High School,81.65,233,171,73.39,115.8697493,-31.92122258,Government,Co-ed,Secular
2016,49,Wesley College,80.85,155,139,89.68,115.86593400000001,-31.97995555,Non-government,Boys,Christian
2016,50,Christian Brothers' College,80.7,128,78,60.94,115.7533646,-32.05178739,Non-government,Boys,Catholic
2016,51,Como Secondary College,80.6,95,56,58.95,115.8711551,-32.00366439,Government,Co-ed,Secular
2016,52,Melville Senior High School,80.55,141,57,40.43,115.80546129999999,-32.04631125,Government,Co-ed,Secular
2016,53,Sevenoaks Senior College,80.45,140,31,22.14,115.94230520000002,-32.01247925,Government,Co-ed,Secular
2016,54,Cape Naturaliste College,80.3,79,34,43.04,115.24388909999999,-33.67693545,Government,Co-ed,Secular
2016,55,Tranby College,80.2,83,46,55.42,115.8002428,-32.340570299999996,Non-government,Co-ed,Uniting
2016,56,Manea Senior College,80.05,227,83,36.56,115.65679750000001,-33.36775659,Government,Co-ed,Secular
2016,56,Swan Christian College,80.05,182,74,40.66,116.01175330000001,-31.85830659,Non-government,Co-ed,Christian
2016,58,Servite College,79.9,150,80,53.33,115.8336415,-31.90270449,Non-government,Co-ed,Catholic
2016,59,St Mark's Anglican Community School,79.8,171,140,81.87,115.74287279999999,-31.79848743,Non-government,Co-ed,Anglican
2016,60,Kingsway Christian College,79.65,87,75,86.21,115.8374044,-31.81156717,Non-government,Co-ed,Christian
2016,61,Manjimup Senior High School,79.55,104,35,33.65,116.133228,-34.233841999999996,Government,Co-ed,Secular
2016,62,Nagle Catholic College,79.4,151,96,63.58,114.60999309999998,-28.77776964,Non-government,Co-ed,Catholic
2016,63,Prendiville Catholic College,79.3,159,121,76.1,115.7396844,-31.75468355,Non-government,Co-ed,Catholic
