School,Year,Rank,Postcode,State Overall Score,Total Enrolments,ICSEA,Suburb,Longitude,Latitude,Sector,Gender,Religion
Perth Modern School,2018,1,6008,100,1411,1239,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular
Christ Church Grammar School,2018,2,6010,100,1644,1180,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican
Hale School,2018,3,6019,100,1504,1165,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican
Rossmoyne Senior High School,2018,4,6148,100,2122,1121,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular
St Hilda's Anglican School for Girls,2018,5,6012,100,1121,1197,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican
Willetton Senior High School,2018,6,6155,99,2290,1117,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular
Shenton College,2018,7,6008,99,2059,1159,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular
All Saints' College,2018,8,6149,99,1257,1154,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican
St Mary's Anglican Girls' School,2018,9,6018,99,1428,1158,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican
International School of Western Australia,2018,10,6015,99,314,1182,Doubleview,115.77762,-31.8985,Government,Co-ed,Secular
Perth College,2018,11,6050,99,1062,1153,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic
Methodist Ladies' College,2018,12,6010,99,1114,1150,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist
Wesley College,2018,13,6151,99,1233,1143,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian
Presbyterian Ladies' College,2018,14,6011,98,1099,1111,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting
Shark Bay School,2018,15,6537,98,100,945,Denham,113.5309441,-25.92280075,Government,Co-ed,Secular
John XXIII College,2018,16,6010,98,1456,1170,Mount Claremont,115.7847988,-31.9599189,Non-government,Co-ed,Catholic
Penrhos College,2018,17,6152,98,1071,1051,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting
Langford Islamic College,2018,18,6147,98,918,1098,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam
Mercedes College,2018,19,6000,98,893,1116,Perth,115.8670832,-31.95623304,Non-government,Girls,Catholic
Bunbury Cathedral Grammar School,2018,20,6230,98,723,1081,Gelorup,115.63864,-33.404668,Non-government,Co-ed,Christian
