School,Year,Rank,Level,Reading,Writing,Spelling,Grammar,Numeracy,Average,Suburb,Longitude,Latitude,Sector,Gender,Religion,ICSEA
Perth Modern School,2019,1,Year 9,694,667,695,704,729,697.8,Subiaco,115.8363958,-31.94506602,Government,Co-ed,Secular,1239
St Hilda's Anglican School for Girls,2019,2,Year 9,649,636,631,644,652,642.4,Mosman Park,115.767812,-32.005047,Non-government,Girls,Anglican,1197
Presbyterian Ladies' College,2019,3,Year 9,641,633,636,637,658,641.0,Peppermint Grove,115.764906,-31.993592,Non-government,Girls,Uniting,1111
St Mary's Anglican Girls' School,2019,4,Year 9,640,631,634,637,657,639.8,Karrinyup,115.766244,-31.87697112,Non-government,Girls,Anglican,1158
Rehoboth Christian College,2019,5,Year 9,633,605,637,641,654,634.0,Kenwick,115.977924,-32.03161911,Non-government,Co-ed,Christian,1114
Perth College,2019,6,Year 9,639,622,627,635,646,633.8,Mount Lawley,115.8754809,-31.93117853,Non-government,Girls,Catholic,1153
Methodist Ladies' College,2019,7,Year 9,634,619,633,635,647,633.6,Claremont,115.7755403,-31.98701169,Non-government,Girls,Methodist,1150
Rossmoyne Senior High School,2019,8,Year 9,627,622,635,626,656,633.2,Rossmoyne,115.8705457,-32.04626472,Government,Co-ed,Secular,1121
All Saints' College,2019,9,Year 9,632,619,633,618,658,632.0,Bull Creek,115.867023,-32.04946998,Non-government,Co-ed,Anglican,1154
Hale School,2019,10,Year 9,638,600,622,620,673,630.6,Wembley Downs,115.7837828,-31.91232249,Non-government,Boys,Anglican,1165
Shenton College,2019,11,Year 9,638,627,621,623,644,630.6,Shenton Park,115.803008,-31.95969986,Government,Co-ed,Secular,1159
Christ Church Grammar School,2019,12,Year 9,635,593,624,627,667,629.2,Claremont,115.7769868,-31.98546117,Non-government,Boys,Anglican,1180
Langford Islamic College,2019,13,Year 9,615,599,646,635,637,626.4,Langford,115.9371583,-32.04605574,Non-government,Co-ed,Islam,1098
John Calvin Christian College,2019,14,Year 9,633,589,633,632,640,625.4,Armadale,116.0066034,-32.14876453,Non-government,Co-ed,Christian,1040
Willetton Senior High School,2019,15,Year 9,622,597,629,618,659,625.0,Willetton,115.8792246,-32.06131317,Government,Co-ed,Secular,1117
International School of Western Australia,2019,16,Year 9,626,607,632,618,642,625.0,Doubleview,115.77762,-31.8985,Government,Co-ed,Secular,1182
John Curtin College of the Arts,2019,17,Year 9,631,604,623,628,636,624.4,Fremantle,115.7562238,-32.04863279,Government,Co-ed,Secular,1120
Penrhos College,2019,18,Year 9,629,609,621,621,622,620.4,Como,115.8725394,-31.99743072,Non-government,Girls,Uniting,1051
Iona Presentation College,2019,19,Year 9,619,614,617,619,629,619.6,Mosman Park,115.76773490000002,-32.00852636,Non-government,Girls,Catholic,1124
Frederick Irwin Anglican School,2019,20,Year 9,620,593,615,617,646,618.2,Mandurah,115.7530802,-32.50869435,Non-government,Co-ed,Anglican,1088
Wesley College,2019,21,Year 9,625,586,608,622,647,617.6,South Perth,115.865934,-31.97995555,Non-government,Boys,Christian,1143
Churchlands Senior High School,2019,22,Year 9,623,597,610,613,644,617.4,Churchlands,115.7899902,-31.91728978,Government,Co-ed,Secular,1118
Applecross Senior High School,2019,23,Year 9,619,601,615,617,634,617.2,Ardross,115.83509,-32.029376,Government,Co-ed,Secular,1111
